objid,ra,dec
1237668311631069814,243.744972707823,11.2431845854999
1237668365316063711,243.971643132372,11.0977155036064
1237668310557459593,243.850405467302,10.2937566241536
1237668271379514387,243.828366054934,10.1457106159472
1237668310557459532,243.823680136133,10.2709183249249
1237668272453321273,244.124765985676,10.8218725104915
1237668271916385014,243.962410977247,10.6162469261148
1237668310557590138,244.029408640869,10.2472840992001
1237668311094526451,244.399751435637,10.6479191291878
1237668365316326563,244.556770508874,10.8895681564301
1237668271916712615,244.667718007864,10.3108959193247
1237668272453583554,244.832438880894,10.6646467487979
1237668310557852191,244.752067601007,10.1322229671841
1237668311094723616,244.847646598846,10.4383381813519
1237668311094788361,244.884989875953,10.389309356171
1237668272453714840,245.034200151314,10.5859940019898
1237668272453714169,245.005661930563,10.5901666150299
1237662636913722073,243.119173579561,7.97245009871259
1237662636913722029,243.187440481913,7.96283542070416
1237662534362792532,243.203183670874,8.10157640374721
1237668348148384778,243.168982001066,8.21279026318981
1237668348685190218,243.126228522732,8.61343177097505
1237662636913590554,242.901686225814,8.01712916228627
1237662637450461317,242.927477365441,8.37792665039699
1237668330964255248,242.866352911847,8.54673601982931
1237662636376719833,242.730989725167,7.55085746025481
1237662636376785637,242.929712749593,7.50654466189344
1237662534362661169,242.806576007981,8.12658495337321
1237662534362595878,242.710548898146,8.15352027640313
1237668330964255236,242.842048739004,8.54874788751449
1237662636376654537,242.609359411289,7.60601018379385
1237661951353094617,242.506997828992,7.91632449164126
1237661950816158705,242.240837120182,7.51143111769559
1237662636376589437,242.404165174021,7.71896311806975
1237662200437408920,242.369303081262,7.85116506964498
1237662636913328693,242.286031188282,8.09459558452638
1237662534362464489,242.447876147428,8.21330912699096
1237662534362465068,242.38174082184,8.30670982354761
1237662636913329802,242.320881534447,8.13132417218657
1237668348147991406,242.306239167832,8.40871176293097
1237662199363601760,242.064475029774,7.07804136273792
1237661950279287304,242.137553660285,7.09024552292061
1237662199363600512,242.006776387877,7.08211213862449
1237662199900406453,241.930343023432,7.52832451127592
1237662636376392104,241.978161737251,7.70860266811431
1237662636376393138,242.07501961629,7.81554994568037
1237662199363470187,241.721699504482,7.03959796988814
1237661950279090600,241.733737185096,7.21246355199863
1237662636376261254,241.665502198751,7.76558522049606
1237662200437277074,242.03603086223,7.94140806997112
1237662636913263021,242.085061627028,8.08713440119404
1237662200437276937,241.954393940746,7.95050501774995
1237662636913263149,242.034794074734,8.17141925069043
1237662636913197690,241.970851023346,8.16589779257029
1237662636913132126,241.884280438689,8.28426185489203
1237662534362268532,241.945905697536,8.37007338671255
1237661951352832757,241.80740383689,8.03955420515059
