ra,dec
2.425413801157326361e+02,1.098977655629611050e+01
2.424223066341764650e+02,1.068172249486398329e+01
2.423786952368919572e+02,1.004531338243547012e+01
2.428768218421503491e+02,1.055791875095922983e+01
2.431183413330745111e+02,9.894836279642404975e+00
2.431372865340296698e+02,1.048740474598940153e+01
2.432532330582454279e+02,1.036077032622904959e+01
2.435832152332004057e+02,1.132028395089478146e+01
2.435385127861074182e+02,1.126572295153665415e+01
2.435840198211330687e+02,1.029227680492393127e+01
2.438215823104436595e+02,1.056706473256175904e+01
2.437433462728986058e+02,1.039363779804155108e+01
2.437449812266074787e+02,1.124320173899138808e+01
2.439716447466772706e+02,1.109772587733744054e+01
2.438504372710874577e+02,1.029380086080806223e+01
2.438284452849742934e+02,1.014575783063202685e+01
2.438237150901602490e+02,1.027095478279928997e+01
2.441247649637592474e+02,1.082185271740740262e+01
2.439624118312421217e+02,1.061624894928914031e+01
2.440294448397634994e+02,1.024730585830723939e+01
2.443997478273987269e+02,1.064794143057522291e+01
2.445567542213075569e+02,1.088960988472938318e+01
2.446677305590330320e+02,1.031090090411597160e+01
2.448324417872819367e+02,1.066465077959385610e+01
2.447520806745157529e+02,1.013223298984090093e+01
2.448476751713774604e+02,1.043831227244603532e+01
2.448850222700976076e+02,1.038930817022492370e+01
2.450342085166732602e+02,1.058603863919532273e+01
2.450056598142743098e+02,1.059021474123901640e+01
2.431191779145350438e+02,7.972454763416145340e+00
2.431874634908178336e+02,7.962856899007863198e+00
2.432032090032141127e+02,8.101596306536164249e+00
2.431690203050089281e+02,8.212801926535158614e+00
2.431262326824550826e+02,8.613451371625462372e+00
2.429017003182956103e+02,8.017147759588041822e+00
2.429276577268075812e+02,8.377866161717872018e+00
2.428663623513436107e+02,8.546760092607341264e+00
2.427309985247992188e+02,7.550886304995657383e+00
2.429297159512111648e+02,7.506571392086194727e+00
2.428065874518883618e+02,8.126615070226979043e+00
2.427105662548497378e+02,8.153550850668358052e+00
2.428420600227643718e+02,8.548767827033197264e+00
2.426093691140791009e+02,7.606039898170679159e+00
2.425070159447434150e+02,7.916343718321047440e+00
2.422408480156947235e+02,7.511452295791227307e+00
2.424041516676173842e+02,7.718977822309945225e+00
2.423693184126194069e+02,7.851227301505429246e+00
2.422860501845135843e+02,8.094613903894714468e+00
2.424478952685075512e+02,8.213327774939957138e+00
2.423817779062217994e+02,8.306724629223221967e+00
2.423209122646409810e+02,8.131339687155032081e+00
2.423062631496135566e+02,8.408723456264223017e+00
2.420644725245928726e+02,7.078053756539656405e+00
2.421375530631010804e+02,7.090237764585932467e+00
2.420067807468129786e+02,7.082138712658499813e+00
2.419303545129567965e+02,7.528358702058980612e+00
2.419779832801017108e+02,7.708607759683132166e+00
2.420750337378613040e+02,7.815576949670773210e+00
2.417217177920124982e+02,7.039597055853831442e+00
2.417337542168947664e+02,7.212486950437299704e+00
2.416655127406771157e+02,7.765601405968004300e+00
2.420360468872428896e+02,7.941408093763738130e+00
2.420850636612564131e+02,8.087138410353304607e+00
2.419543789401257072e+02,7.950502180958667786e+00
2.420348151260612610e+02,8.171451378254454667e+00
2.419708758029063063e+02,8.165916681972307245e+00
2.418843414199482993e+02,8.284322322931814142e+00
2.419459312285916042e+02,8.370106601352485853e+00
2.418074133785758590e+02,8.039585932668172674e+00
2.417639339248497095e+02,7.907062035671783562e+00
2.417538426874091329e+02,8.255826005128588108e+00
2.416301498838639645e+02,7.652032437337110693e+00
2.416000567619878723e+02,7.742254762545386804e+00
2.416491470227027207e+02,8.225415056538745162e+00
2.416570425488909848e+02,8.274884324841949024e+00
2.413612713261406952e+02,7.370395891646147390e+00
2.413733945202759799e+02,7.613536870569991954e+00
2.415054825572666459e+02,7.818349307947214832e+00
2.415224442706233106e+02,7.853169878011851957e+00
2.415122177390564104e+02,7.992032499189005712e+00
2.415664350197408794e+02,8.541595020945061734e+00
2.411293702602567919e+02,7.363153616665007561e+00
2.411952858258524088e+02,7.653082030644809741e+00
2.410233263830296835e+02,7.603459088324684423e+00
2.412972969893538675e+02,8.331635088642432407e+00
2.412702897297181721e+02,8.318341563327125598e+00
2.412844811987994831e+02,8.518945023244269166e+00
2.411120542878809943e+02,8.467437707588205242e+00
2.411265996953999320e+02,8.880330881828003342e+00
2.410973836386850166e+02,8.727241823577443824e+00
2.413333672563902041e+02,9.865878630489534729e+00
2.414904463909893479e+02,8.675820462111907716e+00
2.414291997481692817e+02,9.096498446974129237e+00
2.415533155265872267e+02,9.235907128017791123e+00
2.415885163769252131e+02,9.429637562229645553e+00
2.416011376560925612e+02,9.056513698860639394e+00
2.415216629750086099e+02,8.852433539636118454e+00
2.415430377728119709e+02,8.646085050124202809e+00
2.415685955473330182e+02,8.634179529662780794e+00
2.417054370566945920e+02,8.749971314509229714e+00
2.417575723528599951e+02,9.798705283073784855e+00
2.418048491779415770e+02,9.660168563096059202e+00
2.418971841633553197e+02,9.140566516736125635e+00
2.420291367049582618e+02,9.971643577815244797e+00
2.419292096073294829e+02,9.422581380366723991e+00
2.420490916612178580e+02,9.355339680501309374e+00
2.421920763226670772e+02,9.616683213535079489e+00
2.422224717755249515e+02,8.801643285537922523e+00
2.424850123509299920e+02,9.000682901075608200e+00
2.428623639780938674e+02,9.530892071433655133e+00
2.430071402503956222e+02,9.237983209727326894e+00
2.459330802180251965e+02,7.032158528549308230e+00
2.459553693543969075e+02,7.512508787561004375e+00
2.459561399512203081e+02,7.589011883568452355e+00
2.458214343454020252e+02,7.080921318836977285e+00
2.459220528220018593e+02,7.244358030867270593e+00
2.458370265355325444e+02,7.681377465283352635e+00
2.458543055137074305e+02,7.683662380601552933e+00
2.458434440888212578e+02,8.075280527151440069e+00
2.458143131101622885e+02,8.148806337230590557e+00
2.457327686095086960e+02,7.039170588371696624e+00
2.456623902758074962e+02,7.786014220079478854e+00
2.456458829847900631e+02,7.826792418888561365e+00
2.454535942180734196e+02,8.039276422248930132e+00
2.455942026457068152e+02,7.440352725328041039e+00
2.453239778563998073e+02,8.061610780092797413e+00
2.453757715085135089e+02,7.983425636682722093e+00
2.454263069704493319e+02,7.589272301957592504e+00
2.453335403157959718e+02,7.618586307602968510e+00
2.452195824279434078e+02,7.904167024484971549e+00
2.451372560604549733e+02,8.100477340058278131e+00
2.451200294952971888e+02,8.025297696765310462e+00
2.450406301021497484e+02,8.111686136661793611e+00
2.452847322372219310e+02,7.278092262819443548e+00
2.444195364283220613e+02,8.168191650459379005e+00
2.446867648341944346e+02,8.432387117016158840e+00
2.445904448215063667e+02,8.367062278044015144e+00
2.447153011783697991e+02,8.587617445468888278e+00
2.447007485223428205e+02,8.915456553060813860e+00
2.448172542727469931e+02,8.616664611012355479e+00
2.448838076484415183e+02,8.851625632696951129e+00
2.448979419715776658e+02,8.414547546265367828e+00
2.449294073179249835e+02,8.632343842518141130e+00
2.450346445016160715e+02,8.703227400497826949e+00
2.449622018606393965e+02,8.396829933786913003e+00
2.451147305081240404e+02,9.215946897011438210e+00
2.450907333783324304e+02,8.939950826721027255e+00
2.454144894252070799e+02,8.653931608333182979e+00
2.453205437353260834e+02,8.770361127591032258e+00
2.454392207401395467e+02,8.626524824749973064e+00
2.454616782492235245e+02,9.108172385293725526e+00
2.452426152273500577e+02,9.212084907814354295e+00
2.454096446138021008e+02,8.924429122237947709e+00
2.456823804532584177e+02,8.585089104975823560e+00
2.456272096425194036e+02,8.409074562649060169e+00
2.456432014510255613e+02,8.185114974361416884e+00
2.456829471213704039e+02,8.381325513561902696e+00
2.456619753650800249e+02,9.029225360498140063e+00
2.456922372785594177e+02,8.853710778868514097e+00
2.456004228492094512e+02,8.830208580902445092e+00
2.459254700594063081e+02,8.493384187221261428e+00
2.458884514766580764e+02,8.528001652074646444e+00
2.457880582851732640e+02,9.108409193284819239e+00
