gflux,rflux
0.12365,-0.243423
0.08527237,2.581776
15.13573,28.46014
0.007040462,0.3107513
1.088231,1.73145
1.120711,1.997026
4.630332,5.332667
0.8038709,1.677857
1.617843,4.618988
0.5004514,-0.2218542
0.2687985,0.3351692
0.8479953,0.4869264
1.80921,3.793296
1.884164,2.222445
-0.07461769,-0.1046286
11.08211,30.92323
1.903189,2.97915
-0.9633412,1.350157
0.5240338,-2.042073
0.7664437,0.7672883
-0.01065923,4.032074
0.1878709,0.5663245
0.6937609,1.03197
0.8742678,2.501337
0.7285348,2.262425
1.041151,1.188049
1.693131,7.894097
1.826987,3.904633
0.6148002,0.1662145
0.8105231,1.03778
0.1896624,0.5119199
16.46272,30.22185
0.1098477,0.6650817
0.4763328,-0.5621967
0.4161471,0.7781696
1.269557,3.90413
0.3691707,0.9131407
0.04942155,0.7926466
1.908874,2.157588
-0.03266715,2.751277
1.027125,2.434249
0.3482597,1.119035
-1.022598,1.302957
1.264753,5.22462
0.7116731,1.239891
0.00293711,1.573864
3.038962,15.15858
3.79704,7.416174
1.347296,3.707565
16.45841,22.93998
-1.167603,0.4444533
0.1101623,0.909422
0.03708105,0.9670359
0.1405058,1.304974
1.134758,2.303835
1.038221,1.816997
0.6112098,0.7816009
0.06535528,0.6362705
0.3740017,2.542524
11.52165,43.31128
1.162035,0.6077446
1.997084,3.578803
0.7592518,1.298747
-0.7066177,2.574318
0.08041708,0.9731248
0.8471095,3.024958
0.6931831,0.8579957
0.3300095,2.476397
0.5474421,0.5586446
1.044809,0.8136985
0.4267251,2.248526
0.3287276,1.346437
0.9374312,3.086836
0.8408408,1.626188
0.8278357,1.07255
-0.009463383,1.630215
0.4489337,0.8837289
0.575373,1.294532
0.4847563,1.293989
0.5060005,-2.004249
0.511807,-0.001824009
0.04209646,0.1977309
0.1799531,0.9131441
0.9456263,1.449715
0.5371687,0.8560789
0.6391008,0.6551641
0.1803133,0.5623028
0.1846001,0.7798874
0.08522568,0.0413652
0.003530998,0.5178486
1.359066,-0.4630968
5.08557,7.076067
23.07664,43.72586
0.5617626,1.796263
2.040021,2.613207
0.7900822,2.199575
0.6945651,2.514562
1.774406,7.782921
0.3487333,0.7173344
0.01884156,0.5903111
0.03788595,0.8581014
1.046576,4.121234
0.6275396,1.003306
14.08203,36.04174
0.6876964,2.669718
30.12509,52.79783
0.2554972,2.90728
0.9543558,0.00625779
14.36112,28.91842
12.96949,17.2303
3.343832,6.587783
64.3783,156.6927
3.245987,5.956858
0.4256121,-0.5775039
1.302697,2.035486
2.455751,4.231754
1.697666,5.57742
1.010176,3.857337
1.798474,5.189244
0.5834007,0.4658574
2.146109,6.145969
0.4283263,1.386812
2.76953,3.904881
1.352549,5.607878
7.862046,19.84169
1.009731,3.401847
2.182752,6.018186
3.062777,13.72591
0.2374602,3.611417
0.1949988,1.997213
2.477871,5.358768
3.977876,14.28724
0.1683687,1.888903
2.184655,5.405052
0.7932143,1.762068
3.657924,8.376542
1.724009,4.333003
2.829383,6.055261
1.301143,3.719059
2.23774,4.368087
3.157568,3.826044
1.066722,2.825877
1.78707,3.746425
-0.09160532,2.377782
-1.872337,-2.379353
1.911978,8.959694
0.1067894,0.1457393
0.5031524,1.622462
0.793054,0.6421703
1.030883,1.199304
-0.771972,1.313261
0.6875598,1.38763
0.4632504,1.524078
0.2465616,0.9055323
11.1583,21.28684
1.700557,13.02363
4.998859,5.613036
1.364862,4.726174
0.953783,3.019625
-0.1704831,-0.138004
0.1102363,-0.05068203
5.250543,13.66663
0.7472171,1.452727
-0.5295681,0.8296858
0.8727024,2.357655
2.031476,4.502298
1.09618,4.428013
0.4419754,8.49861
-0.01709383,0.5804391
0.6825659,0.4344627
0.7634746,-0.4636576
0.001285992,0.8170072
4.075823,4.00655
0.7646906,0.9243069
0.4658503,1.379943
0.03439184,0.417114
0.7524851,0.5008398
0.07673766,0.4725884
0.2521031,0.7503929
0.001221964,0.05503181
56.79116,85.06902
0.006245334,0.4307353
0.4633727,0.8564803
10.46098,22.38915
-0.01336596,0.9911686
0.9588503,0.9613181
12.42599,19.78553
3.640214,12.49619
1.603269,1.714531
0.8108136,0.8984327
1.048261,3.80564
0.390764,0.341495
0.269666,-1.882191
-9.134957,-9.214985
0.2298374,0.7240278
0.533741,-0.3045326
0.2664348,0.8025122
1.190598,2.741863
3.0065,9.334576
0.7355446,2.52879
0.5756924,2.293945
1.148245,4.468662
0.5049146,0.1674812
4.315354,12.27007
3.664822,5.2415
3.533841,7.00522
2.685531,3.361604
0.1803441,0.9084978
1.778367,7.999625
1.082061,1.747456
1.949692,5.111696
1.457724,6.752562
0.9821393,1.278946
7.366355,22.08882
0.9895828,1.800968
0.6432328,2.727327
0.5527866,1.836797
0.2194969,0.6154227
27.76207,80.17002
6.961144,16.25597
0.04604639,0.05633302
-0.09550672,-0.2451067
0.3630382,0.4386902
-0.02008814,0.9066464
0.6978273,1.126853
0.3931929,1.274386
0.2427777,0.492541
14.45288,40.35398
0.1038797,0.1069664
0.2130383,0.7180755
1.156792,0.484542
0.1189035,3.084548
0.5679027,2.143077
-0.2904015,-0.2415444
-0.5901539,0.2424421
0.2719203,0.4098851
3.835019,7.64976
0.9962739,1.567868
4.458381,14.14922
1.296556,2.553725
3.262947,6.524173
1.124555,1.513149
3.124506,8.230447
0.7722033,2.701386
3.067277,4.070632
0.1560388,0.7467995
3.122462,7.25771
1.853553,2.571748
0.892096,1.789389
1.34578,3.583012
0.482177,1.471947
0.1139094,0.1525757
0.70143,1.122843
0.7005131,0.9441338
1.854537,6.358642
1.381858,2.112161
1.235125,1.957038
